Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 2, Dropout Rate: 0.2, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.772405624389648
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 2, Dropout Rate: 0.3, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.983581066131592
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 2, Dropout Rate: 0.4, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.8593597412109375
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 3, Dropout Rate: 0.2, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.942498683929443
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 3, Dropout Rate: 0.3, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.766049861907959
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 3, Dropout Rate: 0.4, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.548192024230957
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 4, Dropout Rate: 0.2, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.770140171051025
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 4, Dropout Rate: 0.3, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.491841793060303
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 4, Dropout Rate: 0.4, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.514993190765381
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 8, Dropout Rate: 0.2, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.472716808319092
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 8, Dropout Rate: 0.3, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.216928005218506
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 16, Layers: 8, Dropout Rate: 0.4, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.116206169128418
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 32, Layers: 2, Dropout Rate: 0.2, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 5.345666408538818
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 32, Layers: 2, Dropout Rate: 0.3, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 5.09078311920166
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 32, Layers: 2, Dropout Rate: 0.4, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.90864896774292
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 32, Layers: 3, Dropout Rate: 0.2, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 5.106081008911133
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 32, Layers: 3, Dropout Rate: 0.3, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.985966205596924
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 32, Layers: 3, Dropout Rate: 0.4, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 5.008786201477051
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 32, Layers: 4, Dropout Rate: 0.2, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.9262566566467285
Filtre: 1, AddFeatures: 0, Normalisation: StandardScaler, Hidden Dim: 32, Layers: 4, Dropout Rate: 0.3, Erreur absolue moyenne (Réseau de Neurones PyTorch) : 4.624730110168457
