Filtre 1 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.5577732570036271
Filtre 1 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.7711254704211246
Filtre 1 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.5467817812946196
Filtre 1 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.5840561277260703
Filtre 1 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.7985610475562968
Filtre 1 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.5714679564370033
Filtre 1 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.5266876918485757
Filtre 1 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.7404646233050982
Filtre 1 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.5160869602691172
Filtre 1 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.5359540065953792
Filtre 1 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.7159929312256754
Filtre 1 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.5279944760646849
Filtre 1 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.564468490637379
Filtre 1 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.7399076763016688
Filtre 1 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.551724638162561
Filtre 1 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.5061234806006458
Filtre 1 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.6866627713399815
Filtre 1 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.4951053687350597
Filtre 2 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 2.7533324313231837
Filtre 2 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 3.233709760929776
Filtre 2 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 2.7549379469163457
Filtre 2 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 2.7279066372180676
Filtre 2 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 3.2311784531542735
Filtre 2 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 2.72808682543153
Filtre 2 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.77842732200383
Filtre 2 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 3.2445314932312517
Filtre 2 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.7742218617894134
Filtre 2 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.8070714764858982
