Filtre 1, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.073698835348965
Filtre 1, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.05478384738299
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 3.987104314914546
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.05980606047169
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.060807713310966
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.460160221937234
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 6.7899621284610925
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 7.473106828333955
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 7.420974071984332
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.245676847998437
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.757470613106999
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 5.695982539003613
Filtre 1, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 7.471828601177347
Filtre 1, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.077858225107198
Filtre 1, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 3.9938517207174162
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.003494124633023
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.128021555546436
