Filtre 1, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.393983364105225
Filtre 1, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.4113898277282715
Filtre 1, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.310914516448975
Filtre 1, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.393983364105225
Filtre 1, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.4113898277282715
Filtre 1, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.310914516448975
Filtre 1, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.393983364105225
Filtre 1, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.4113898277282715
Filtre 1, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.310914516448975
Filtre 1, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 3.942046880722046
Filtre 1, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.181586265563965
Filtre 1, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 3.978600263595581
Filtre 1, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 3.942046880722046
Filtre 1, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.181586265563965
Filtre 1, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 3.978600263595581
Filtre 1, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 3.942046880722046
Filtre 1, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.181586265563965
Filtre 1, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 3.978600263595581
Filtre 2, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.427084922790527
Filtre 2, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.297904968261719
